travelTimeMeta_ID,Vsi,Qtn_TT,Ic_TT,fz_TT,ztop_TT,zbot_TT,Group,Group_ID
5,245.7398545,244.0065734,1.72946257,0.859373568,7.75,9.75,Beach_Dune,1
5,276.365909,254.4990527,1.547195122,1.058703373,9.75,11.75,Beach_Dune,1
5,271.6962085,233.8362883,1.505672117,1.264864896,11.75,13.75,Beach_Dune,1
5,207.5157756,173.1416177,1.832792646,1.458206306,13.75,15.75,Beach_Dune,1
6,204.3409781,200.9265199,1.836299129,0.222924332,1.75,3.75,Beach_Dune,1
6,184.8821045,329.5905332,1.631165392,0.40477194,3.75,5.75,Beach_Dune,1
6,284.7903337,584.6417489,1.624220225,0.633645244,5.75,7.75,Beach_Dune,1
7,184.1158334,199.4406098,1.819676565,0.22902708,1.75,3.75,Beach_Dune,1
7,221.6055122,268.4235646,1.766654756,0.399958219,3.75,5.75,Beach_Dune,1
7,222.1113356,391.7631869,1.494841793,0.608967633,5.75,7.75,Beach_Dune,1
7,282.2867363,356.9461782,1.789500224,0.814000997,7.75,9.75,Beach_Dune,1
7,233.4802953,346.1048499,1.573395747,1.042305687,9.75,11.75,Beach_Dune,1
7,240.9010969,305.0709185,1.581436238,1.204769343,11.75,12.65,Beach_Dune,1
8,202.4312073,206.2829023,1.611096672,0.231521054,1.75,3.75,Beach_Dune,1
8,226.7634179,335.8751799,1.466885458,0.420357644,3.75,5.75,Beach_Dune,1
8,243.8992148,462.7306541,1.508276198,0.637423526,5.75,7.75,Beach_Dune,1
8,391.8953561,493.6974399,1.562299919,0.872624597,7.75,9.75,Beach_Dune,1
8,332.4689216,358.2641018,1.610120404,1.104851956,9.75,11.75,Beach_Dune,1
8,294.1879554,340.8753869,1.640559913,1.254777679,11.75,12.35,Beach_Dune,1
9,248.88613,275.7736335,1.506170165,0.246842123,1.75,3.75,Beach_Dune,1
9,200.8169026,192.583419,1.704246043,0.425937092,3.75,5.75,Beach_Dune,1
9,270.2778787,548.1637951,1.632339248,0.640998493,5.75,7.75,Beach_Dune,1
9,272.6242409,468.4923199,1.579481147,0.882947843,7.75,9.75,Beach_Dune,1
9,227.8872726,285.9620798,1.632714789,1.111159092,9.75,11.75,Beach_Dune,1
9,226.5260747,227.7179864,2.04548506,1.241064537,11.75,12.2,Beach_Dune,1
10,230.5051692,304.8521099,1.483235764,0.24240978,1.75,3.75,Beach_Dune,1
10,214.2764859,379.7372962,1.723014568,0.434176422,3.75,5.75,Beach_Dune,1
10,285.958725,479.3377631,1.677984666,0.66836029,5.75,7.75,Beach_Dune,1
10,274.3764027,354.4655515,1.736740654,0.881491622,7.75,9.55,Beach_Dune,1
12,226.8058761,159.2667803,2.324486124,0.213329056,1.75,3.75,Floodplain,2
12,132.6223552,203.2524784,2.69325778,0.355400716,3.75,5.75,Floodplain,2
12,230.68467,172.4573193,2.808240688,0.518560572,5.75,7.75,Floodplain,2
12,293.460122,140.4432448,2.680500096,0.65319053,7.75,9.1,Floodplain,2
13,143.0697172,166.6613716,2.555709985,0.210387926,1.75,3.75,Floodplain,2
13,172.840883,195.604331,2.766713812,0.359386352,3.75,5.75,Floodplain,2
13,260.3843956,194.7559317,2.790221624,0.526592502,5.75,7.75,Floodplain,2
13,311.0190013,254.6651649,2.259568083,0.702022292,7.75,9.75,Floodplain,2
13,305.8689317,277.8652071,1.803800887,0.904846456,9.75,11.75,Floodplain,2
13,238.2826015,221.069908,1.754079793,1.120969036,11.75,13.75,Floodplain,2
13,260.2270716,210.887317,1.681157495,1.330340871,13.75,15.75,Floodplain,2
