travelTimeMeta_ID,site_ID,Group,citation_ID,name,Geology (Holzer),search (Grant),Geology (Site Table),Geology (Mapping),longitude,latitude,method,date,quality,VelocityDataType,vsz_value,vsz_unit,z_value,z_unit,depth_unit,traveltime_unit,DGWT,Group
29,3256,California,80,ALC015,afem,California,"af/Qi",#N/A,-122.3137,37.7832,SCPT,2001.1.24,,Vs,128.9599,m/s,23,m,m,m/s,0.1,af/Qi
30,3257,California,80,ALC016,afem,California,"af/Qi",#N/A,-122.3136,37.7824,SCPT,2001.1.24,,Vs,139.3056,m/s,16.25,m,m,m/s,1.1,af/Qi
31,3258,California,80,ALC017,afem,California,"af/Qi",#N/A,-122.3134,37.7838,SCPT,2001.1.24,,Vs,161.5741,m/s,50.5,m,m,m/s,0.6,af/Qi
32,3259,California,80,ALC018,afem,California,"af/Qi",#N/A,-122.3251,37.7817,SCPT,2001.1.25,,Vs,193.8619,m/s,17.75,m,m,m/s,1.4,af/Qi
33,3260,California,80,ALC019,afem,California,"af/Qi",#N/A,-122.3257,37.7894,SCPT,2001.1.25,,Vs,157.6606,m/s,23.75,m,m,m/s,1.4,af/Qi
34,3261,California,80,ALC020,afem,California,"af/Qi",#N/A,-122.3265,37.7955,SCPT,2001.1.25,,Vs,186.6319,m/s,12.9,m,m,m/s,1.1,af/Qi
35,3262,California,80,ALC021,,California,"Qs",#N/A,-122.2369,37.7592,SCPT,2001.1.31,,Vs,237.7882,m/s,14.75,m,m,m/s,#N/A,Qs
36,3263,California,80,ALC022,,California,"Qs",#N/A,-122.2384,37.7665,SCPT,2001.1.31,,Vs,258.6865,m/s,13.55,m,m,m/s,#N/A,Qs
37,3264,California,80,ALC023,,California,"Qs",#N/A,-122.2897,37.7747,SCPT,2001.1.31,,Vs,252.4677,m/s,13.3,m,m,m/s,#N/A,Qs
38,3265,California,80,ALC024,,California,"Qs",#N/A,-122.2659,37.7732,SCPT,2001.1.31,,Vs,268.5624,m/s,17,m,m,m/s,#N/A,Qs
39,3266,California,80,ALC025,afem,California,"af/Qi",#N/A,-122.2955,37.7723,SCPT,2001.2.1,,Vs,230.9384,m/s,15.75,m,m,m/s,1.8,af/Qi
40,3267,California,80,ALC026,afem,California,"af/Qi",#N/A,-122.2717,37.7682,SCPT,2001.2.1,,Vs,244.0654,m/s,23.75,m,m,m/s,0.7,af/Qi
41,3268,California,80,ALC027,afem,California,"af/Qi",#N/A,-122.2588,37.7606,SCPT,2001.2.1,,Vs,181.8682,m/s,29.75,m,m,m/s,0.7,af/Qi
