Depth (m),Qtncs,Ic_layered,$\sigma_v^\prime$_CPT (atm),Vs_National_Model (m/s)
0.1,1136.430715376201,1.0974045270405237,0.009206924098292633,254.88076098111907
0.15,1136.430715376201,1.0974045270405237,0.01447154414063743,267.0070743658026
0.2,1136.430715376201,1.0974045270405237,0.019763321567829385,275.6978120641636
0.25,1136.430715376201,1.0974045270405237,0.02493324405010905,282.36157734848985
0.3,1136.430715376201,1.0974045270405237,0.029898227408547785,287.68113868818534
0.35,848.2411117568847,1.0313405079655054,0.03467029685006735,270.1492796658925
0.4,848.2411117568847,1.0313405079655054,0.039233969586778855,273.5849678020183
0.45,848.2411117568847,1.0313405079655054,0.04355592302227839,276.5224553903169
0.5,848.2411117568847,1.0313405079655054,0.04756331361381935,279.0209696811825
0.55,516.6299782000698,2.302825663075318,0.0514810607771578,164.34849993123606
0.6,516.6299782000698,2.302825663075318,0.055045642868944526,166.98366307245783
0.65,516.6299782000698,2.302825663075318,0.058693616336547835,169.54903227085413
0.7,516.6299782000698,2.302825663075318,0.0622190272671482,171.91517063451622
0.75,516.6299782000698,2.302825663075318,0.06557780954857581,174.0762074712359
0.8,516.6299782000698,2.302825663075318,0.06896035821612555,176.1688628142587
0.85,516.6299782000698,2.302825663075318,0.07251453895603902,178.28501476781975
0.9,516.6299782000698,2.302825663075318,0.076212993597662,180.40470847939167
0.95,516.6299782000698,2.302825663075318,0.0800477434263003,182.52125713974928
1.0,516.6299782000698,2.302825663075318,0.08401938183289265,184.63337413740464
1.05,516.6299782000698,2.302825663075318,0.08805118236178924,186.70100682762214
1.1,516.6299782000698,2.302825663075318,0.09205584474956699,188.6844556998873
1.15,516.6299782000698,2.302825663075318,0.09594843800147455,190.55031444714518
1.2,516.6299782000698,2.302825663075318,0.09983462127556994,192.35638923034912
1.25,516.6299782000698,2.302825663075318,0.10377964164364077,194.1357901563926
1.3,516.6299782000698,2.302825663075318,0.10780962937407929,195.9010393512461
1.35,516.6299782000698,2.302825663075318,0.11194972177312196,197.6628823309122
1.4,516.6299782000698,2.302825663075318,0.11620365902611693,199.42216637113265
1.45,516.6299782000698,2.302825663075318,0.12058850086446003,201.18492503015977
1.5,516.6299782000698,2.302825663075318,0.12507769285601994,202.93971237256102
1.55,516.6299782000698,2.302825663075318,0.12968807583908779,204.69258362193085
1.6,516.6299782000698,2.302825663075318,0.13426653872690772,206.38691410149247
1.65,225.38364367201746,1.829639875715022,0.1388584513894302,202.95366973349007
1.7,225.38364367201746,1.829639875715022,0.14340549080597995,203.8393238465683
1.75,225.38364367201746,1.829639875715022,0.14798326249897126,204.70676087207863
1.8,225.38364367201746,1.829639875715022,0.15256719967543325,205.55241564042228
1.85,225.38364367201746,1.829639875715022,0.15697664998466682,206.34539352471862
1.9,225.38364367201746,1.829639875715022,0.1611517425093008,207.0786643013867
1.95,225.38364367201746,1.829639875715022,0.16518361905096435,207.77135024131965
2.0,336.08904349680967,2.418849326732425,0.16916894330845694,180.69046422089536
2.05,336.08904349680967,2.418849326732425,0.17320762586251182,181.875618023333
2.1,336.08904349680967,2.418849326732425,0.17729622800004932,183.05524336214657
2.15,336.08904349680967,2.418849326732425,0.18136333698330004,184.2093152442034
2.2,336.08904349680967,2.418849326732425,0.18552434897728468,185.370830494249
2.25,336.08904349680967,2.418849326732425,0.18967113342312186,186.50978660716098
2.3,336.08904349680967,2.418849326732425,0.1936142445640047,187.57622467780004
2.35,336.08904349680967,2.418849326732425,0.19742484516372974,188.59200858357448
2.4,336.08904349680967,2.418849326732425,0.20114935603681394,189.57123768191104
2.45,336.08904349680967,2.418849326732425,0.20478333800881254,190.51411206979054
2.5,336.08904349680967,2.418849326732425,0.20822948776515185,191.39714241745142
2.55,336.08904349680967,2.418849326732425,0.21155088983116513,192.23826565001104
2.6,336.08904349680967,2.418849326732425,0.2149805958005443,193.09685656934403
2.65,336.08904349680967,2.418849326732425,0.21841694311566529,193.9472359409364
2.7,336.08904349680967,2.418849326732425,0.22115562866974917,194.61806837518375
2.75,336.08904349680967,2.418849326732425,0.22401410217011158,195.31186773132038
2.8,336.08904349680967,2.418849326732425,0.22739052104590174,196.12318509011197
2.85,336.08904349680967,2.418849326732425,0.23100560517295643,196.98225418379914
2.9,336.08904349680967,2.418849326732425,0.23476922649668538,197.86635644941822
2.95,336.08904349680967,2.418849326732425,0.23857128145777692,198.74914417209456
3.0,336.08904349680967,2.418849326732425,0.24253939657609463,199.65970842912523
3.05,336.08904349680967,2.418849326732425,0.2461733408240589,200.48419094703613
3.1,336.08904349680967,2.418849326732425,0.24985980857331674,201.31164867328667
3.15,336.08904349680967,2.418849326732425,0.2537339632226683,202.17177743934528
3.2,336.08904349680967,2.418849326732425,0.25756898794808597,203.01391832528032
3.25,336.08904349680967,2.418849326732425,0.2613768299846908,203.84116896982198
3.3,336.08904349680967,2.418849326732425,0.2650208527878497,204.62471148673663
3.35,336.08904349680967,2.418849326732425,0.2686097505707213,205.38882496671278
3.4,165.3691963032253,2.7196438218201164,0.2721987465332253,148.4991175409454
3.45,165.3691963032253,2.7196438218201164,0.2758123251516182,149.24517756320017
3.5,165.3691963032253,2.7196438218201164,0.27935438393574896,149.9706128199982
3.55,165.3691963032253,2.7196438218201164,0.2827840148034579,150.66760786260113
3.6,165.3691963032253,2.7196438218201164,0.28624927561355473,151.3665410348943
3.65,165.3691963032253,2.7196438218201164,0.28978173814140074,152.07364979402232
3.7,165.3691963032253,2.7196438218201164,0.2933855773825404,152.78956031085326
3.75,165.3691963032253,2.7196438218201164,0.29695355817824715,153.49299613225173
3.8,165.3691963032253,2.7196438218201164,0.30048822213276766,154.18471507923994
3.85,165.3691963032253,2.7196438218201164,0.30402154736127807,154.87114826050168
3.9,165.3691963032253,2.7196438218201164,0.30757338262943107,155.55621023956866
3.95,165.3691963032253,2.7196438218201164,0.31120860940788186,156.25229613784126
4.0,165.3691963032253,2.7196438218201164,0.31498571173146017,156.97022907414686
4.05,165.3691963032253,2.7196438218201164,0.31894823352809526,157.71769143425144
4.1,165.3691963032253,2.7196438218201164,0.3229489244025402,158.46653536517363
4.15,165.3691963032253,2.7196438218201164,0.3269601396398596,159.2115969479922
4.2,165.3691963032253,2.7196438218201164,0.3309653279062323,159.949905821506
4.25,165.3691963032253,2.7196438218201164,0.33492253351422135,160.67394902732173
4.3,165.3691963032253,2.7196438218201164,0.3388044752578241,161.3790857340427
4.35,165.3691963032253,2.7196438218201164,0.34260481352707806,162.06456361560964
4.4,165.3691963032253,2.7196438218201164,0.34629154772201887,162.72505991507145
4.45,165.3691963032253,2.7196438218201164,0.3499525725834958,163.37664989516136
4.5,165.3691963032253,2.7196438218201164,0.3536707475149006,164.03409991984913
4.55,165.3691963032253,2.7196438218201164,0.3574543654703774,164.69873707409354
4.6,165.3691963032253,2.7196438218201164,0.36132768838275703,165.37462909225593
4.65,165.3691963032253,2.7196438218201164,0.3653308430850161,166.0684725531911
4.7,165.3691963032253,2.7196438218201164,0.36936794997775785,166.7634430785049
4.75,165.3691963032253,2.7196438218201164,0.3733275059592484,167.44050373025462
4.8,165.3691963032253,2.7196438218201164,0.3773137259095258,168.11764125151402
4.85,165.3691963032253,2.7196438218201164,0.3814292741684318,168.8121100943935
4.9,165.3691963032253,2.7196438218201164,0.38573419086983707,169.53357988065278
4.95,165.3691963032253,2.7196438218201164,0.39020105304229136,170.27693228007544
5.0,165.3691963032253,2.7196438218201164,0.39478994907351045,171.03511896697512
5.05,165.3691963032253,2.7196438218201164,0.39913436906635635,171.74789396694726
5.1,165.3691963032253,2.7196438218201164,0.403144015596484,172.40148764728207
5.15,165.3691963032253,2.7196438218201164,0.40693490819303313,173.01572694259232
5.2,165.3691963032253,2.7196438218201164,0.4106688776746377,173.6172844248644
5.25,165.3691963032253,2.7196438218201164,0.4144880475649224,174.2290700913765
5.3,165.3691963032253,2.7196438218201164,0.4183133898378599,174.8383509348313
5.35,165.3691963032253,2.7196438218201164,0.4221123339454501,175.44001791225494
5.4,165.3691963032253,2.7196438218201164,0.4259583766552442,176.0457339456245
5.45,165.3691963032253,2.7196438218201164,0.4297375865580129,176.63763032151988
5.5,165.3691963032253,2.7196438218201164,0.43347149609484686,177.21927068485425
5.55,165.3691963032253,2.7196438218201164,0.43714072660277187,177.78781748478403
5.6,165.3691963032253,2.7196438218201164,0.440841130122791,178.35820577719215
5.65,165.3691963032253,2.7196438218201164,0.444629786250579,178.93913027692537
5.7,165.3691963032253,2.7196438218201164,0.44846606139402206,179.5242375587305
5.75,165.3691963032253,2.7196438218201164,0.4522896307801111,180.10432722807226
5.8,165.3691963032253,2.7196438218201164,0.456031564864407,180.6690952288376
5.85,165.3691963032253,2.7196438218201164,0.45916480003318094,181.13978649603067
5.9,165.3691963032253,2.7196438218201164,0.4627686794417795,181.6787244290791
5.95,165.3691963032253,2.7196438218201164,0.46629052017185246,182.20288575039515
6.0,165.3691963032253,2.7196438218201164,0.4698888251909776,182.73589841634453
6.05,165.3691963032253,2.7196438218201164,0.4734654926927856,183.2632038989991
6.1,165.3691963032253,2.7196438218201164,0.47703326087744324,183.7867425456929
6.15,165.3691963032253,2.7196438218201164,0.480598309937159,184.30746284954927
6.2,165.3691963032253,2.7196438218201164,0.4841822586956777,184.8285352996059
6.25,165.3691963032253,2.7196438218201164,0.4878852286918041,185.3644065606619
6.3,165.3691963032253,2.7196438218201164,0.49162742445373836,185.90339854886955
6.35,165.3691963032253,2.7196438218201164,0.4953737085771688,186.44043748384556
6.4,165.3691963032253,2.7196438218201164,0.4990966085056126,186.97163543088024
6.45,165.3691963032253,2.7196438218201164,0.5027689571717504,187.49321905112313
6.5,165.3691963032253,2.7196438218201164,0.5064314277134766,188.01105238673026
6.55,165.3691963032253,2.7196438218201164,0.5100271384557303,188.51719270828798
6.6,165.3691963032253,2.7196438218201164,0.513572766054851,189.0141214399334
6.65,165.3691963032253,2.7196438218201164,0.5170619211563053,189.50106318244056
6.7,165.3691963032253,2.7196438218201164,0.5204355802709733,189.96995301724553
6.75,165.3691963032253,2.7196438218201164,0.5237334233590073,190.4264875465011
6.8,165.3691963032253,2.7196438218201164,0.5270096416076272,190.8782670009866
6.85,165.3691963032253,2.7196438218201164,0.5304136869860003,191.34583261283646
6.9,165.3691963032253,2.7196438218201164,0.5337937970133786,191.80827328226152
6.95,165.3691963032253,2.7196438218201164,0.5372792627123253,192.28323049654298
7.0,165.3691963032253,2.7196438218201164,0.5408360184434283,192.7659369823821
7.05,165.3691963032253,2.7196438218201164,0.5443820463494203,193.24523219074482
7.1,165.3691963032253,2.7196438218201164,0.5477897601474045,193.70401181233672
7.15,165.3691963032253,2.7196438218201164,0.5511323367683125,194.15230613662914
7.2,165.3691963032253,2.7196438218201164,0.5545003256597051,194.60230690399135
7.25,165.3691963032253,2.7196438218201164,0.5579179335235872,195.05720836932267
7.3,165.3691963032253,2.7196438218201164,0.5612519175358909,195.49931727940228
7.35,165.3691963032253,2.7196438218201164,0.5645822163055326,195.93931488518805
7.4,165.3691963032253,2.7196438218201164,0.5678999252733506,196.3760519653859
7.45,165.3691963032253,2.7196438218201164,0.5712362399532421,196.81364592467733
7.5,165.3691963032253,2.7196438218201164,0.5746624778431513,197.26138816541658
7.55,165.3691963032253,2.7196438218201164,0.5781306709245321,197.71293065157442
7.6,165.3691963032253,2.7196438218201164,0.5816647204856236,198.1713230364962
7.65,165.3691963032253,2.7196438218201164,0.5852240420555929,198.63125136681361
7.7,165.3691963032253,2.7196438218201164,0.5887440124502605,199.08439228258342
7.75,165.3691963032253,2.7196438218201164,0.5922421461187276,199.5330609572697
7.8,165.3691963032253,2.7196438218201164,0.5957622715828292,199.98289473430657
7.85,165.3691963032253,2.7196438218201164,0.5991651496172533,200.4161817620449
7.9,165.3691963032253,2.7196438218201164,0.6026301154850263,200.85580952235796
7.95,165.3691963032253,2.7196438218201164,0.6053948214709886,201.20546690991924
8.0,165.3691963032253,2.7196438218201164,0.6085300656790381,201.60079106698328
8.05,165.3691963032253,2.7196438218201164,0.6119551349815863,202.0312187356771
8.1,165.3691963032253,2.7196438218201164,0.6155498018830268,202.48135629700232
8.15,165.3691963032253,2.7196438218201164,0.6191020010088287,202.924577669041
8.2,165.3691963032253,2.7196438218201164,0.6226854357253961,203.3701017272461
8.25,165.3691963032253,2.7196438218201164,0.6264009361371844,203.83036992807604
8.3,165.3691963032253,2.7196438218201164,0.6302189703802953,204.30157980004233
8.35,165.3691963032253,2.7196438218201164,0.6341308937323505,204.78254498620726
8.4,165.3691963032253,2.7196438218201164,0.6380298960276158,205.2600945231279
8.45,165.3691963032253,2.7196438218201164,0.641991377269136,205.74344697500305
8.5,165.3691963032253,2.7196438218201164,0.6459390910150901,206.22328350106537
8.55,165.3691963032253,2.7196438218201164,0.6498871404154437,206.70134581318737
8.6,165.3691963032253,2.7196438218201164,0.6538812340102602,207.18315478200896
8.65,165.3691963032253,2.7196438218201164,0.6579599675872128,207.67329447419598
8.7,165.3691963032253,2.7196438218201164,0.6621039720257047,208.16935223723945
8.75,165.3691963032253,2.7196438218201164,0.6663321643751217,208.67350765203264
8.8,165.3691963032253,2.7196438218201164,0.6707568880673687,209.19897739523552
8.85,165.3691963032253,2.7196438218201164,0.6753121232261087,209.7377060095594
8.9,165.3691963032253,2.7196438218201164,0.6799244358144316,210.28089422743977
8.95,165.3691963032253,2.7196438218201164,0.684554252812116,210.82385116769407
9.0,165.3691963032253,2.7196438218201164,0.6891770609931402,211.36371928482617
9.05,165.3691963032253,2.7196438218201164,0.6938135793405427,211.90293799279317
9.1,165.3691963032253,2.7196438218201164,0.6984774057293422,212.44308335050016
9.15,165.3691963032253,2.7196438218201164,0.7031561962425221,212.9827195396549
9.2,165.3691963032253,2.7196438218201164,0.7078342913768044,213.52005431008217
9.25,165.3691963032253,2.7196438218201164,0.7125086154422204,214.05476126035614
9.3,165.3691963032253,2.7196438218201164,0.7171763137807862,214.58654437131813
9.35,165.3691963032253,2.7196438218201164,0.721834769374304,215.11513922868656
9.4,165.3691963032253,2.7196438218201164,0.726621622371729,215.6561046207992
9.45,165.3691963032253,2.7196438218201164,0.7321174940046384,216.27447891108588
9.5,165.3691963032253,2.7196438218201164,0.7379734408108208,216.93020852142976
9.55,250.36127786548613,1.7264616989611072,0.7438011141811671,262.84473788350886
9.6,250.36127786548613,1.7264616989611072,0.7495742828286788,263.09881182561054
9.65,250.36127786548613,1.7264616989611072,0.7552106144525274,263.3452170593224
9.7,250.36127786548613,1.7264616989611072,0.7607011236143923,263.58370488915654
9.75,250.36127786548613,1.7264616989611072,0.76609892185738,263.8167018926728
9.8,250.36127786548613,1.7264616989611072,0.7714398156395382,264.04583299467345
9.85,250.36127786548613,1.7264616989611072,0.7766403406700247,264.26761210116075
9.9,250.36127786548613,1.7264616989611072,0.7817671275124632,264.48497824522605
9.95,250.36127786548613,1.7264616989611072,0.7866688092806338,264.6916370790864
10.0,250.36127786548613,1.7264616989611072,0.7917849380768334,264.9061388435993
10.05,250.36127786548613,1.7264616989611072,0.7970005477524097,265.12356669560967
10.1,250.36127786548613,1.7264616989611072,0.802238355434795,265.34067050899023
10.15,250.36127786548613,1.7264616989611072,0.8076031010163874,265.5617538024034
10.2,250.36127786548613,1.7264616989611072,0.8129492502829573,265.7807959920224
10.25,250.36127786548613,1.7264616989611072,0.818409568269745,266.0032185984485
10.3,250.36127786548613,1.7264616989611072,0.8238110577023545,266.22197088739995
10.35,250.36127786548613,1.7264616989611072,0.8292037573894234,266.4391187656933
10.4,250.36127786548613,1.7264616989611072,0.8345918392009829,266.65485002827035
10.45,250.36127786548613,1.7264616989611072,0.8399336473566686,266.86752884074
10.5,250.36127786548613,1.7264616989611072,0.8452342197229765,267.0773991898344
10.55,250.36127786548613,1.7264616989611072,0.8505806750112549,267.2879227896476
10.6,407.100630051854,1.273812069326594,0.8562375349349614,306.5214150883762
10.65,407.100630051854,1.273812069326594,0.8619549630999901,306.73608221929356
10.7,407.100630051854,1.273812069326594,0.8676265665730438,306.9477736416678
10.75,407.100630051854,1.273812069326594,0.8731751886081638,307.153679929125
10.8,407.100630051854,1.273812069326594,0.8784359122424886,307.3478240492442
10.85,407.100630051854,1.273812069326594,0.8833853091893882,307.5295313095426
10.9,407.100630051854,1.273812069326594,0.8882717059374642,307.7080341840901
10.95,407.100630051854,1.273812069326594,0.8929575022003055,307.87838562719605
11.0,407.100630051854,1.273812069326594,0.89781257564043,308.0540494394586
11.05,407.100630051854,1.273812069326594,0.9023063617681413,308.21588549087824
11.1,407.100630051854,1.273812069326594,0.9062257417737326,308.3564475329378
11.15,251.27282537127303,2.4457975453514176,0.910005799930325,265.7378533008651
11.2,251.27282537127303,2.4457975453514176,0.9138183499039109,266.0565342412497
11.25,251.27282537127303,2.4457975453514176,0.9175447656918483,266.3671002358113
11.3,251.27282537127303,2.4457975453514176,0.921323924682361,266.6811443805632
11.35,251.27282537127303,2.4457975453514176,0.9256048532332933,267.03577701166125
11.4,251.27282537127303,2.4457975453514176,0.9299850173844624,267.3974214069393
11.45,251.27282537127303,2.4457975453514176,0.9341895186225059,267.74342122012627
11.5,251.27282537127303,2.4457975453514176,0.9372471699486138,267.99434661486356
11.55,251.27282537127303,2.4457975453514176,0.940773555740152,268.2830145537306
11.6,251.27282537127303,2.4457975453514176,0.9439713808387382,268.54412012631263
11.65,251.27282537127303,2.4457975453514176,0.9466297386045355,268.7606978038723
11.7,251.27282537127303,2.4457975453514176,0.9496559052487614,269.00671364849387
11.75,251.27282537127303,2.4457975453514176,0.9532768403717042,269.30034812035086
11.8,251.27282537127303,2.4457975453514176,0.9573427761792354,269.6291225228019
11.85,251.27282537127303,2.4457975453514176,0.9615477776158589,269.9680957988927
11.9,251.27282537127303,2.4457975453514176,0.9657914802243854,270.3091184663426
11.95,251.27282537127303,2.4457975453514176,0.9698981362390828,270.6381119399894
12.0,251.27282537127303,2.4457975453514176,0.9741080262193108,270.97434588346596
12.05,251.27282537127303,2.4457975453514176,0.9784176575671166,271.3174739505897
12.1,251.27282537127303,2.4457975453514176,0.9826643490221597,271.65453781624126
12.15,251.27282537127303,2.4457975453514176,0.9868934059119083,271.9891709673349
12.2,251.27282537127303,2.4457975453514176,0.9911414864437647,272.3242811698783
12.25,251.27282537127303,2.4457975453514176,0.9954247286165998,272.6611293888894
12.3,251.27282537127303,2.4457975453514176,0.9995693597927039,272.9860939309351
12.35,251.27282537127303,2.4457975453514176,1.003773527157498,273.3147459756418
12.4,251.27282537127303,2.4457975453514176,1.0081269330114104,273.6540312431583
12.45,251.27282537127303,2.4457975453514176,1.0126109597994788,274.00240564877197
12.5,251.27282537127303,2.4457975453514176,1.0172508796497108,274.36173518589055
12.55,251.27282537127303,2.4457975453514176,1.0220225451970575,274.73005016953033
12.6,251.27282537127303,2.4457975453514176,1.026936041456931,275.10803311694536
12.65,251.27282537127303,2.4457975453514176,1.0319855944348866,275.4951408100904
12.7,251.27282537127303,2.4457975453514176,1.0371479582247884,275.88950253092935
12.75,251.27282537127303,2.4457975453514176,1.0422980699130184,276.28153551683334
12.8,251.27282537127303,2.4457975453514176,1.047266175677755,276.65840675566653
12.85,251.27282537127303,2.4457975453514176,1.0519838912478592,277.0151051654702
12.9,251.27282537127303,2.4457975453514176,1.056554207715858,277.35957246997776
12.95,251.27282537127303,2.4457975453514176,1.0609742700055018,277.69170544279626
13.0,251.27282537127303,2.4457975453514176,1.0652986967022142,278.0156982969153
13.05,89.58705866126489,3.0357220714151496,1.0695492795691939,212.2180584461658
13.1,89.58705866126489,3.0357220714151496,1.0736893636057085,212.5885083919005
13.15,89.58705866126489,3.0357220714151496,1.0776270583312608,212.94012241064152
13.2,89.58705866126489,3.0357220714151496,1.0815863487629989,213.29295491526236
13.25,89.58705866126489,3.0357220714151496,1.0857995334068626,213.66763597257528
13.3,89.58705866126489,3.0357220714151496,1.0905665658172699,214.09061063689904
13.35,89.58705866126489,3.0357220714151496,1.095878059772419,214.56070203595567
13.4,298.8561009559095,1.9844174984468017,1.1014665228067468,290.680929180456
13.45,298.8561009559095,1.9844174984468017,1.1070856303546124,290.91388367017566
13.5,298.8561009559095,1.9844174984468017,1.1126552738266673,291.14380644515956
13.55,298.8561009559095,1.9844174984468017,1.1181574676618176,291.3699945746515
13.6,298.8561009559095,1.9844174984468017,1.1237810542115187,291.60020600843797
13.65,298.8561009559095,1.9844174984468017,1.129444283619342,291.8310614318683
13.7,298.8561009559095,1.9844174984468017,1.1350865956843732,292.0600962934536
13.75,298.8561009559095,1.9844174984468017,1.1406954702680752,292.28682506646436
13.8,298.8561009559095,1.9844174984468017,1.1463086395269413,292.51278897712245
13.85,298.8561009559095,1.9844174984468017,1.1518878902852858,292.73646548781545
13.9,298.8561009559095,1.9844174984468017,1.1574340901555462,292.95791404717096
13.95,298.8561009559095,1.9844174984468017,1.162662913061708,293.1658730927262
14.0,298.8561009559095,1.9844174984468017,1.1680023209831605,293.37741868365134
14.05,298.8561009559095,1.9844174984468017,1.1735064953373096,293.59464105764806
14.1,298.8561009559095,1.9844174984468017,1.179090913395323,293.81415469731024
14.15,298.8561009559095,1.9844174984468017,1.1845510723565067,294.0279385929339
14.2,298.8561009559095,1.9844174984468017,1.1901715031175,294.2471322175096
14.25,298.8561009559095,1.9844174984468017,1.1958508901458031,294.46774096001735
14.3,298.8561009559095,1.9844174984468017,1.2014894250559072,294.6858912963045
14.35,298.8561009559095,1.9844174984468017,1.2068695182049447,294.89324001161117
14.4,298.8561009559095,1.9844174984468017,1.2120825862854443,295.093409983943
14.45,298.8561009559095,1.9844174984468017,1.2172460023874823,295.2909596564396
14.5,298.8561009559095,1.9844174984468017,1.2225228295031565,295.4921202262758
14.55,298.8561009559095,1.9844174984468017,1.2280777165850754,295.7030919757786
14.6,298.8561009559095,1.9844174984468017,1.2337042953424957,295.91596844803735
14.65,298.8561009559095,1.9844174984468017,1.2392572087434988,296.12525733442766
14.7,298.8561009559095,1.9844174984468017,1.2447323176684273,296.33084157751847
14.75,298.8561009559095,1.9844174984468017,1.2502516588193509,296.5373169490754
14.8,298.8561009559095,1.9844174984468017,1.2558416400034385,296.7456535898618
14.85,298.8561009559095,1.9844174984468017,1.2613706739116717,296.9509515404088
14.9,298.8561009559095,1.9844174984468017,1.2668264339434496,297.1527868912107
14.95,298.8561009559095,1.9844174984468017,1.27225219494174,297.3527873751427
15.0,298.8561009559095,1.9844174984468017,1.2776772119541797,297.5520432077241
15.05,298.8561009559095,1.9844174984468017,1.2830320352245292,297.7480230401248
15.1,298.8561009559095,1.9844174984468017,1.2884422916608007,297.94533299637874
15.15,298.8561009559095,1.9844174984468017,1.2938919814660252,298.14337659534846
15.2,298.8561009559095,1.9844174984468017,1.2993870518773813,298.34235899802593
15.25,298.8561009559095,1.9844174984468017,1.3050161149256665,298.545459611421
15.3,298.8561009559095,1.9844174984468017,1.310632641108904,298.7473735405022
15.35,298.8561009559095,1.9844174984468017,1.3162529967144818,298.94869665331237
15.4,298.8561009559095,1.9844174984468017,1.3217121304493407,299.1435524921242
15.45,298.8561009559095,1.9844174984468017,1.3269957726608341,299.3314997129971
15.5,298.8561009559095,1.9844174984468017,1.3323416311731184,299.5210194438541
15.55,298.8561009559095,1.9844174984468017,1.3379502813269797,299.71916809775905
15.6,298.8561009559095,1.9844174984468017,1.3435449650607674,299.91612729872753
15.65,298.8561009559095,1.9844174984468017,1.3491113388736442,300.1114052404924
15.7,298.8561009559095,1.9844174984468017,1.3545798078967193,300.302588570646
15.75,298.8561009559095,1.9844174984468017,1.3597593021615675,300.4830703171463
15.8,298.8561009559095,1.9844174984468017,1.36506052086824,300.66719477050214
15.85,298.8561009559095,1.9844174984468017,1.370158931577432,300.8437077300309
15.9,194.42021351643248,2.690553607603973,1.3749080821885624,286.42459995477316
15.95,194.42021351643248,2.690553607603973,1.379545964176326,286.7827339844923
16.0,194.42021351643248,2.690553607603973,1.3844485145611323,287.16048318145715
16.05,194.42021351643248,2.690553607603973,1.3895924901879801,287.5559311882395
16.1,194.42021351643248,2.690553607603973,1.394691200858105,287.94699188701065
16.15,194.42021351643248,2.690553607603973,1.3998029035743775,288.3381474973469
16.2,194.42021351643248,2.690553607603973,1.404821519926845,288.72130698243143
16.25,194.42021351643248,2.690553607603973,1.4096435279959836,289.0886457736605
16.3,194.42021351643248,2.690553607603973,1.4143169482451228,289.44391181998594
16.35,194.42021351643248,2.690553607603973,1.418778983920039,289.78242041416826
16.4,194.42021351643248,2.690553607603973,1.4227904578142876,290.08617641747895
16.45,194.42021351643248,2.690553607603973,1.4267617003750201,290.386355934645
16.5,194.42021351643248,2.690553607603973,1.430673136431755,290.68150153985914
16.55,194.42021351643248,2.690553607603973,1.4346558496209738,290.98150451274955
16.6,194.42021351643248,2.690553607603973,1.4391830173473048,291.3218838062588
16.65,194.42021351643248,2.690553607603973,1.4440229778756526,291.68503672915193
16.7,161.0635521984127,1.7325232790157674,1.4490780664578822,253.2448171241418
16.75,161.0635521984127,1.7325232790157674,1.454207252966722,253.3571168252915
16.8,161.0635521984127,1.7325232790157674,1.4593867079635219,253.47016615989222
16.85,161.0635521984127,1.7325232790157674,1.4645014247049535,253.58145868300144
16.9,161.0635521984127,1.7325232790157674,1.4693410487153578,253.68645284433475
16.95,161.0635521984127,1.7325232790157674,1.473841239790374,253.78381210449726
17.0,161.0635521984127,1.7325232790157674,1.4777719352168366,253.86863815208574
17.05,130.39273276816004,2.75315957540664,1.4816054962483212,265.9336065768302
17.1,130.39273276816004,2.75315957540664,1.485402200237636,266.19905641673137
17.15,130.39273276816004,2.75315957540664,1.4891773527793974,266.4625893065778
17.2,130.39273276816004,2.75315957540664,1.4932510337234237,266.74650477054615
17.25,130.39273276816004,2.75315957540664,1.497455820951212,267.03906246952744
17.3,130.39273276816004,2.75315957540664,1.501651659995655,267.33049835400635
17.35,130.39273276816004,2.75315957540664,1.5056429946924854,267.60726893522354
17.4,130.39273276816004,2.75315957540664,1.5095151691171378,267.87534909757085
17.45,130.39273276816004,2.75315957540664,1.5133851802030365,268.1428605670685
17.5,130.39273276816004,2.75315957540664,1.5171486507363348,268.4026074756251
17.55,130.39273276816004,2.75315957540664,1.520751991407404,268.65093439415887
17.6,130.39273276816004,2.75315957540664,1.5244703660624492,268.9068128543142
17.65,130.39273276816004,2.75315957540664,1.5282109919189955,269.1638385654863
17.7,130.39273276816004,2.75315957540664,1.5320123570749806,269.42464481924816
17.75,130.39273276816004,2.75315957540664,1.5358782311146566,269.689472279339
17.8,130.39273276816004,2.75315957540664,1.5397983701418403,269.9576020957705
17.85,130.39273276816004,2.75315957540664,1.543742460670652,270.22695013365063
17.9,130.39273276816004,2.75315957540664,1.5476487694060723,270.4933044333312
17.95,130.39273276816004,2.75315957540664,1.5515083006893329,270.7560666135579
18.0,130.39273276816004,2.75315957540664,1.555515962896031,271.02849199978925
18.05,130.39273276816004,2.75315957540664,1.5596299143831394,271.3076974299233
18.1,130.39273276816004,2.75315957540664,1.56385234265138,271.5937980394895
18.15,130.39273276816004,2.75315957540664,1.5684599700910533,271.905461439613
18.2,130.39273276816004,2.75315957540664,1.5730980587903594,272.21862156860294
18.25,130.39273276816004,2.75315957540664,1.577648488333945,272.5253159860114
