travelTimeArray_ID,travelTimeMeta_ID,depth,traveltime
575,54,3.75,32.26
576,54,5.75,53.98
577,54,7.75,61.18
578,54,9.75,67.47
579,54,11.75,77.34
580,54,13.75,84.59
581,54,15.75,90.89
582,54,17.75,95.64
583,54,19.75,100.91
584,55,1.75,7.3
585,55,3.75,23.27
586,55,5.75,42.96
587,55,7.75,60.55
588,55,9.75,72.1
589,55,11.75,79.47
590,55,13.75,88.86
591,55,14.8,92.94
592,56,1.75,12.05
593,56,3.75,32.76
594,56,5.75,50
595,56,7.75,55.6
596,56,9.75,66.85
597,56,11.75,72.87
598,56,13.75,81.79
599,56,15.75,88.74
600,56,17.75,96.76
601,56,19.75,103.78
602,56,21.75,110.41
603,57,1.75,8.32
604,57,3.75,15.62
605,57,5.75,27.66
606,57,7.75,37.34
607,57,9.75,48.51
608,57,11.75,58.55
609,57,13.75,65.3
610,57,15.75,73.5
611,57,17.75,82.09
612,57,19.75,88.59
613,57,21.75,98.19
614,57,23.75,105.98
615,57,25.75,114.3
616,58,1.75,9
617,58,3.75,15.94
618,58,4.9,17.49
619,59,1.75,10.52
620,59,3.75,15.27
621,59,5.75,20.37
622,59,7.75,25.64
623,59,9.75,31.24
624,59,11.3,34.96
625,60,1.75,9.67
626,60,3.75,17.99
627,60,5.75,22.74
628,60,7.75,30.89
629,60,9.75,38.03
630,60,11.75,43.11
631,60,13.75,48.03
632,60,15.75,54.68
633,60,17.75,60.68
634,60,18.35,62.52
635,61,1.75,7.8
636,61,3.75,12.72
637,61,5.55,15.79
638,62,1.75,8.65
639,62,5.75,24.44
640,62,7.75,30.71
641,62,9.75,35.31
642,62,11.75,41.58
643,62,13.75,46.01
644,62,15.25,50.4
645,63,1.75,7.97
646,63,3.75,14.09
647,63,5.75,20.04
648,63,7.75,26.64
649,63,9.75,33.26
650,63,11.75,38.36
651,63,13.75,44.63
652,63,15.75,50.68
653,63,17.75,57
654,63,18.2,58.55
655,64,1.75,8.5
656,64,3.75,16.12
657,64,5.75,24.12
658,64,7.75,28.51
659,64,9.75,34.29
660,64,11.75,40.06
661,64,13.75,44.66
662,64,15.75,50.2
663,65,1.75,8.5
664,65,3.75,17.82
665,65,5.75,25.96
666,65,7.75,31.74
667,65,9.75,40.06
668,65,11.6,46.33
669,65,13.75,55.3
670,65,15.75,60.85
671,65,17.75,66.4
672,65,18.55,68.85
673,66,1.75,6.45
674,66,3.75,10.87
675,66,5.75,18.34
676,66,7.75,24.12
677,66,9.75,34.11
678,66,11.75,39.01
679,66,13.75,43.26
680,66,15.75,49.13
681,66,17.75,56.55
682,66,19.75,62.67
683,66,20.85,65.15
