depth (m),traveltime (ms)
1.75,11.25
2.75,18.51
3.75,25.31
4.75,33.75
5.75,41.79
6.75,47.58
7.75,52.65
8.75,57.18
9.75,60.31
10.75,66.48
11.75,70.07
12.75,74.84
13.75,79.14
14.75,83.74
15.75,87.26
16.75,90.54
17.75,94.6
18.75,98.2
19.75,101.95
20.75,105.23
21.75,108.12
22.75,111.63
23.5,112.96
