depth (m),qt (MPa),fs (MPa)
12.45,4.11,0.106
12.5,4.31,0.1373
12.55,4.39,0.1721
12.6,4.92,0.2127
12.65,5.95,0.2537
12.7,6.63,0.2985
12.75,7.11,0.2854
12.8,5.38,0.2273
12.85,4.39,0.1565
12.9,4.08,0.1237
12.95,3.62,0.0988
13,3.3,0.0861
13.05,3.16,0.0767
13.1,2.83,0.0655
13.15,2.68,0.0467
13.2,2.32,0.0509
13.25,2.26,0.0803
13.3,3.35,0.1868
13.35,7.68,0.3696
13.4,15.14,0.4801
13.45,16.4,0.4934
13.5,18.71,0.4328
13.55,18.86,0.3833
13.6,19.59,0.4687
13.65,18.05,0.5165
13.7,18.87,0.4905
13.75,18.3,0.4672
13.8,19.11,0.464
13.85,23.67,0.407
13.9,25.03,0.3769
13.95,23.56,0.2199
14,21.75,0.2744
14.05,21.24,0.3697
14.1,20.37,0.4318
14.15,19.32,0.3531
14.2,20.38,0.46
14.25,19.22,0.5204
14.3,18.03,0.4947
14.35,19.35,0.3065
14.4,18.2,0.2331
14.45,16.54,0.2205
14.5,17.29,0.2653
14.55,18.29,0.4249
14.6,15.02,0.5148
14.65,12.85,0.4763
14.7,13.98,0.4038
14.75,14.02,0.4361
14.8,12.99,0.5066
14.85,13.28,0.4517
14.9,13.87,0.3913
14.95,14.95,0.362
15,16.28,0.3514
15.05,14.4,0.3235
15.1,14.04,0.3597
15.15,16.55,0.365
15.2,17.62,0.3872
15.25,20.36,0.4672
15.3,20.44,0.4564
15.35,18.02,0.4792
15.4,17.17,0.3666
15.45,16.91,0.2705
15.5,19.98,0.2855
15.55,19.88,0.4543
15.6,16.33,0.4733
15.65,16.47,0.449
15.7,15.61,0.3847
15.75,16.88,0.2253
15.8,15.65,0.2863
15.85,10.57,0.2283
15.9,4.19,0.168
15.95,3.62,0.145
16,3.81,0.2272
16.05,7.12,0.2822
16.1,6.26,0.272
16.15,6.28,0.278
16.2,4.97,0.2551
16.25,5.31,0.1765
16.3,4.69,0.1416
16.35,3.45,0.1081
16.4,2.9,0.0518
16.45,2.77,0.049
16.5,2.59,0.0451
16.55,2.77,0.05
16.6,2.71,0.1314
16.65,4.77,0.1888
16.7,10.88,0.2095
16.75,13.71,0.221
16.8,13.72,0.2414
16.85,10.55,0.2351
16.9,5.44,0.1806
16.95,3.07,0.1202
17,2.32,0.0484
17.05,2.11,0.0421
17.1,1.8,0.0416
17.15,1.78,0.0402
17.2,2.25,0.0629
17.25,2.53,0.0762
17.3,2.7,0.0734
17.35,2.7,0.0512
17.4,2.48,0.0427
17.45,2.54,0.0422
17.5,2.43,0.0355
17.55,2.37,0.027
17.6,2.45,0.0327
17.65,2.43,0.0341
17.7,2.58,0.0372
17.75,2.69,0.0411
17.8,2.73,0.045
17.85,2.79,0.0466
17.9,2.79,0.0436
17.95,2.78,0.0402
18,2.73,0.0525
18.05,3.46,0.0585
18.1,3.12,0.0733
18.15,3.23,0.1428
18.2,3.55,0.146
18.25,4.21,0.1182
18.3,3.18,0.0948
18.35,2.98,0.0611
18.4,2.68,0.0592
18.45,2.43,0.0458
18.5,2.42,0.0418
18.55,2.57,0.0415
18.6,2.49,0.0338
18.65,2.59,0.0279
18.7,2.53,0.0213
18.75,2.47,0.0268
18.8,2.75,0.0396
18.85,2.84,0.0736
18.9,3.04,0.1435
18.95,4.69,0.2666
19,7.4,0.3637
19.05,7.92,0.4282
19.1,8.31,0.4011
19.15,7.24,0.274
19.2,5.47,0.2667
19.25,3.34,0.3814
19.3,3.31,0.2484
19.35,4.16,0.1349
19.4,2.91,0.0808
19.45,2.4,0.067
19.5,2.65,0.0974
19.55,4.3,0.1169
19.6,4.12,0.0852
19.65,2.76,0.0467
19.7,2.46,0.0312
19.75,2.5,0.0421
19.8,2.7,0.056
19.85,2.81,0.0683
19.9,3.5,0.0719
