depth (m),qc (MPa),fs (MPa),u (MPa),qt (MPa)
14.8,34.15,0.18,-0.029647456,34.14451961
14.9,35.48,0.20,-0.032329517,35.47633762
15,32.82,0.07,-0.03452205,32.81970774
15.1,32.06,0.09,-0.044988291,32.04851052
15.2,31.73,0.14,-0.047918563,31.72238946
15.3,22.65,0.17,-0.049380252,22.63928509
15.4,12.57,0.28,-0.049621568,12.56332721
15.5,5.83,0.24,-0.049132041,5.824541487
15.6,4.99,0.12,-0.048890724,4.979491115
15.7,6.68,0.09,-0.049380252,6.674953414
15.8,7.52,0.17,-0.043774814,7.51005986
15.9,23.38,0.35,-0.040368804,23.36994891
16,21.97,0.60,-0.038907115,21.95999878
16.1,14.30,0.63,-0.024048913,14.29755567
16.2,10.71,0.54,-0.024538441,10.71010172
16.3,10.67,0.38,-0.02429023,10.66168413
16.4,13.08,0.36,-0.02429023,13.07302973
16.5,8.93,0.34,-0.024779758,8.931122387
16.6,9.55,0.24,-0.02429023,9.550191803
16.7,6.46,0.24,-0.005777807,6.463447082
16.8,7.29,0.26,0.004936646,7.291275997
16.9,14.24,0.34,0.005908807,14.24555062
17,14.57,0.44,0.005908807,14.56845509
17.1,14.95,0.63,0.006880968,14.95346243
17.2,25.85,0.68,0.009321712,25.85606773
17.3,35.81,0.39,0.010293873,35.81099818
17.4,37.64,0.31,0.010535189,37.64647622
17.5,38.03,0.22,0.011024717,38.03409247
17.6,34.48,0.31,0.005426174,34.47814347
17.7,26.77,0.32,0.002254586,26.76999941
17.8,17.93,0.54,0.004447118,17.93498412
17.9,17.69,0.65,0.003474958,17.69265995
18,16.66,0.76,0.002013269,16.66435577
18.1,18.90,0.22,0.000792897,18.89520126
18.2,25.83,0.27,0.008342656,25.83437476
18.3,40.26,0.21,0.003474958,40.26398855
18.4,46.66,0.19,0.002013269,46.65951852
18.5,39.81,0.37,-0.010411084,39.81250153
18.6,31.12,0.49,-0.012114089,31.11422249
18.7,23.79,0.75,-0.008218551,23.78587135
18.8,25.07,0.77,-0.008701184,25.07023478
18.9,32.53,0.18,-0.008949395,32.52754787
19,48.46,0.21,0.059005333,48.46712017
19.1,51.97,0.27,0.037328216,51.9758856
19.2,51.63,0.25,0.031240145,51.6305218
19.3,36.93,0.23,0.028806296,36.93876961
19.4,23.74,0.39,0.02173917,23.73989922
19.5,16.61,0.48,0.020525692,16.61408131
19.6,16.85,0.47,0.021008325,16.85298044
19.7,25.22,0.44,0.021256537,25.22804103
19.8,23.27,0.48,0.052675946,23.2789521
19.9,27.61,0.48,0.045119292,27.61605734
20,27.05,0.56,0.044147131,27.05341423
20.1,25.53,0.57,0.043416287,25.53818169
20.2,34.19,0.42,0.043905814,34.19864483
20.3,26.50,0.46,0.003716274,26.5038129
20.4,9.78,0.39,0.004447118,9.783274282
20.5,6.28,0.21,0.005667491,6.279484232
20.6,8.00,0.22,0.006150124,7.996542711
20.7,6.42,0.17,0.006398335,6.416818681
20.8,5.93,0.19,0.008583973,5.935471122
20.9,4.67,0.17,0.009073501,4.673325166
21,6.11,0.15,0.010052556,6.11332717
21.1,10.91,0.21,0.011266033,10.91197298
21.2,12.71,0.41,0.031722778,12.71811628
21.3,12.81,0.63,0.104303888,12.82591309
21.4,16.13,0.55,0.111122803,16.15059198
21.5,17.35,0.62,0.111122803,17.36703783
21.6,8.80,0.46,0.11064017,8.819668904
21.7,7.61,0.35,0.112825808,7.630459598
21.8,7.79,0.30,0.120134251,7.811777159
21.9,7.13,0.34,0.121106412,7.152611818
22,10.88,0.38,0.122085468,10.89622884
22.1,15.23,0.53,0.167625339,15.25211949
22.2,15.73,0.57,0.166653179,15.7525139
22.3,11.75,0.54,0.166653179,11.77759056
22.4,20.00,0.56,0.1703074,20.02675818
22.5,21.36,0.55,0.167873551,21.38274507
22.6,18.97,0.55,0.167142706,18.99015467
22.7,18.76,0.64,0.178339792,18.78460847
22.8,17.81,0.72,0.143762584,17.8267005
22.9,13.28,0.72,0.143273057,13.30270869
23,12.73,0.66,0.105765577,12.74808752
23.1,13.16,0.70,0.131096915,13.18242651
23.2,20.36,0.55,0.144976062,20.38627388
23.3,27.69,0.39,0.142300896,27.7086794
23.4,28.96,0.41,0.179070637,28.98991648
23.5,25.87,0.40,0.131096915,25.88505919
23.6,41.53,0.26,0.131338232,41.54806872
23.7,45.56,0.29,0.131579548,45.57952695
23.8,47.54,0.23,0.130607388,47.56286873
23.9,51.61,0.09,0.117700402,51.62998861
24,52.61,0.11,0.039031221,52.61936444
24.1,51.03,0.09,0.022228698,51.0370828
24.2,52.02,0.08,-0.013575777,52.01938611
24.3,56.49,0.07,-0.021125536,56.49113167
24.4,56.10,0.06,-0.021856381,56.09265829
24.5,55.57,0.17,-0.02940614,55.56943949
24.6,54.34,0.07,-0.031357356,54.33929447
24.7,54.10,0.12,-0.034763366,54.09650946
24.8,54.19,0.44,-0.035004683,54.18533903
24.9,47.87,0.10,-0.037438532,47.8686102
25,34.54,0.38,-0.038658904,34.53616905
25.1,27.71,0.26,-0.039148432,27.70300812
25.2,18.35,0.44,-0.065210615,18.33898698
25.3,16.93,0.59,-0.063748926,16.92367426
25.4,18.44,0.58,-0.061308182,18.42843811
25.5,21.93,0.60,-0.060336021,21.92183186
