depth (m),qc (MPa),fs (MPa),u (MPa),qt (MPa)
6.4,7.779678781,0.170357929,-0.005343439,7.778610093
6.45,6.344899209,0.161835245,-0.006929234,6.343513362
6.5,4.621976293,0.172751942,-0.010569667,4.61986236
6.55,3.397774061,0.158100586,-0.011541828,3.395465695
6.6,3.163065076,0.151110069,0.002792378,3.163623552
6.65,3.611128455,0.161739485,0.006074284,3.612343312
6.7,3.083105058,0.159058191,-0.02126344,3.07885237
6.75,2.611005793,0.148141494,-0.003523222,2.610301149
6.8,2.677655101,0.121615835,0.005102122,2.678675525
6.85,2.960435858,0.102080693,-0.009480295,2.958539799
6.9,3.445750071,0.089823349,-0.005226228,3.444704825
6.95,3.712443064,0.070000925,-0.005708861,3.711301292
7,3.789817548,0.06119096,-0.005832967,3.788650955
7.05,3.64847505,0.062723128,-0.005832967,3.647308457
7.1,3.728530828,0.06310617,-0.005950178,3.727340792
7.15,3.896494745,0.063393451,-0.006074284,3.895279888
7.2,3.888546624,0.061957044,-0.006074284,3.887331767
7.25,3.869873326,0.059946073,-0.006074284,3.868658469
7.3,3.832526731,0.056690216,-0.006074284,3.831311874
7.35,3.824482849,0.054487724,-0.006074284,3.823267992
7.4,3.917849337,0.054966527,-0.005832967,3.916682744
7.45,4.003171942,0.059850313,-0.00559165,4.002053612
7.5,3.717805652,0.077757526,-0.005832967,3.716639059
7.55,3.067113055,0.099399399,-0.006074284,3.065898198
7.6,2.608324499,0.118551499,-0.006198389,2.607084821
7.65,2.381659396,0.120370948,-0.0063156,2.380396276
7.7,2.552400367,0.096430823,-0.005467545,2.551306858
7.75,3.128399774,0.10725176,-0.002551061,3.127889562
7.8,4.080546426,0.098154512,-0.002068428,4.08013274
7.85,6.195512829,0.113667714,-0.001703006,6.195172228
7.9,8.630510823,0.122860721,-0.001096267,8.63029157
7.95,9.790649281,0.132532532,-0.001213478,9.790406585
8,9.686653378,0.139523049,-0.001213478,9.686410682
8.05,8.379809834,0.138852725,-0.001337583,8.379542317
