depth (m),qc (MPa),fs (MPa),u (MPa),qt (MPa)
26,11.78821331,0.431113771,0.000241317,11.78826157
26.05,7.523615203,0.386968181,0.000365422,7.523688287
26.1,13.76451851,0.41550481,-0.002068428,13.76410482
26.15,14.80725459,0.479472824,-0.009721612,14.80531027
26.2,10.69740545,0.582415361,-0.000848055,10.69723584
26.25,8.057096949,0.494315701,-0.001944322,8.056708085
26.3,10.74011464,0.436859401,0.010204245,10.74215549
26.35,16.66625318,0.455245417,-0.003888645,16.66547545
26.4,21.36818949,0.524576019,-0.000606739,21.36806814
26.45,24.46192396,0.628476162,-0.000124106,24.46189914
26.5,26.63291026,0.746453098,-0.000241317,26.632862
26.55,27.58764244,0.841255993,-0.000241317,27.58759418
26.6,28.8038008,0.826413115,-0.000482633,28.80370427
26.65,28.71053007,0.834265476,-0.000730845,28.7103839
26.7,26.32877491,0.781597201,-0.000606739,26.32865356
26.75,24.55529045,0.730748376,-0.000730845,24.55514428
26.8,23.4618013,0.723374817,-0.000606739,23.46167995
26.85,22.90974202,0.720214721,-0.000482633,22.90964549
26.9,22.16826847,0.713990288,-0.001213478,22.16802577
26.95,22.16826847,0.686507024,-0.001337583,22.16800095
27,22.73105293,0.686315503,-0.001454794,22.73076197
27.05,22.09893787,0.663045702,-0.001703006,22.09859727
27.1,18.51979342,0.614207847,-0.001820217,18.51942938
27.15,15.37003905,0.58404329,-0.002068428,15.36962536
27.2,10.29205126,0.541429867,-0.004129961,10.29122527
27.25,8.163774146,0.490198,-0.006929234,8.162388299
27.3,6.728898814,0.338034565,-0.020291279,6.724840558
27.35,6.293284299,0.253765325,-0.015189156,6.290246468
27.4,5.723413564,0.225037175,-0.014216995,5.720570165
27.45,5.72073227,0.25079675,-0.010935089,5.718545252
27.5,7.147659481,0.270331892,-0.000730845,7.147513312
27.55,8.182447444,0.308923373,-0.003281906,8.181791063
27.6,8.918558407,0.334204145,-0.015795895,8.915399228
27.65,9.043908902,0.353643527,-0.013975679,9.041113766
27.7,8.598526816,0.347897896,-0.013610256,8.595804765
27.75,7.675682878,0.324628095,-0.011424617,7.673397955
27.8,8.198439447,0.337460002,-0.003040589,8.197831329
27.85,8.8865744,0.347227573,-0.007901395,8.884994121
27.9,11.47881114,0.421633481,-0.012031356,11.47640487
27.95,12.71105725,0.527927637,-0.011665934,12.70872406
28,13.02036366,0.624741502,-0.010693773,13.01822491
28.05,12.84167457,0.575424845,-0.007046445,12.84026528
28.1,15.54068426,0.496996995,0.003647328,15.54141373
28.15,17.41299356,0.431688334,-0.001944322,17.4126047
28.2,18.47440294,0.481866836,-0.001944322,18.47401408
28.25,18.20244312,0.595726071,-0.002675167,18.20190809
28.3,18.01302885,0.674728483,-0.007046445,18.01161956
28.35,20.65611441,0.722991775,-0.002675167,20.65557938
28.4,23.00310851,0.753443614,-0.002675167,23.00257348
28.45,24.31521888,0.793758784,-0.002792378,24.3146604
28.5,25.08063256,0.838478938,-0.0031578,25.080001
28.55,25.88339283,0.848629551,-0.004371278,25.88251857
28.6,26.09416169,0.877932264,-0.0063156,26.09289857
28.65,25.31266025,0.84642706,-0.004129961,25.31183426
28.7,22.68029986,0.795003671,-0.002916483,22.67971656
28.75,20.45875202,0.667546446,-0.003281906,20.45809564
28.8,20.05598336,0.670706542,-0.004129961,20.05515737
28.85,19.93599545,0.719735918,-0.00717055,19.93456134
28.9,18.74119169,0.67980379,-0.006198389,18.73995201
28.95,18.55714001,0.693401781,-0.006198389,18.55590033
29,17.64502125,0.613920566,-0.005226228,17.643976
29.05,18.21307254,0.591129567,-0.006074284,18.21185768
29.1,17.74106903,0.583085685,-0.006439706,17.73978109
29.15,17.15961128,0.583660248,-0.006563812,17.15829852
29.2,16.16216991,0.654618778,-0.008990767,16.16037176
29.25,12.68970266,0.615931536,-0.013727467,12.68695717
29.3,11.15351272,0.594864226,-0.001820217,11.15314868
29.35,10.25738596,0.496135151,-0.017616112,10.25386274
29.4,11.03879164,0.504562075,-0.002309745,11.03832969
29.45,13.00973425,0.528885241,-0.016037212,13.00652681
29.5,13.72449062,0.550431354,-0.008384028,13.72281381
29.55,15.32206304,0.526586989,-0.01032835,15.31999737
29.6,17.18364716,0.518543108,-0.006681022,17.18231096
29.65,18.25846301,0.594289663,-0.009114873,18.25664004
29.7,17.91707683,0.626369431,-0.011665934,17.91474364
29.75,18.57313202,0.718682553,-0.010087034,18.57111461
29.8,18.61842673,0.715713977,-0.013851573,18.61565642
29.85,18.39444292,0.712649641,-0.007287761,18.39298537
29.9,17.73034386,0.691965373,-0.006074284,17.729129
29.95,17.65833196,0.707670095,-0.007777289,17.6567765
30,16.15412603,0.736110964,-0.01336894,16.15145224
30.05,14.89793979,0.708436179,-0.017133479,14.89451309
30.1,13.60450271,0.659023761,-0.007287761,13.60304516
30.15,8.995837131,0.569104652,-0.009962928,8.993844545
30.2,6.894277198,0.410142222,-0.012513989,6.8917744
30.25,6.774289291,0.347036052,0.001337583,6.774556808
30.3,7.400946003,0.270619173,-0.004619489,7.400022105
30.35,7.830336085,0.313807159,-0.000482633,7.830239558
30.4,8.753180023,0.293314412,-0.007901395,8.751599744
30.45,8.566447048,0.371071938,-0.015065051,8.563434038
30.5,6.784918706,0.371071938,-0.007777289,6.783363248
30.55,7.187591609,0.371071938,-0.002309745,7.18712966
